crop,climate_zone,soil_type,last_crop_category,last_crop,season,recommendation_type,recommendation_text
рапс,континентальная,супесчаная,кормовые,люцерна,осень,защита растений,Проверить посевы рапс после люцерна на болезни и провести профилактическую обработку.
пшеница,умеренная,супесчаная,сидераты,кукуруза,лето,защита растений,Проверить посевы пшеница после кукуруза на болезни и провести профилактическую обработку.
кукуруза,умеренная,глинистая,бобовые,горох,осень,севооборот,"После горох, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
рожь,умеренная,чернозем,бобовые,подсолнечник,лето,обработка почвы,После подсолнечник провести глубокую вспашку и выравнивание почвы под рожь.
рожь,субтропическая,глинистая,технические,овес,осень,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под рожь.
соя,южная,супесчаная,кормовые,картофель,осень,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под соя.
ячмень,засушливая,песчаная,бобовые,многолетние травы,осень,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под ячмень.
пшеница,умеренная,торфяная,сидераты,пар,лето,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под пшеница.
ячмень,засушливая,суглинок,технические,люцерна,весна,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после люцерна.
рапс,континентальная,глинистая,кормовые,соя,весна,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после соя.
картофель,южная,торфяная,зерновые,озимая пшеница,лето,защита растений,Проверить посевы картофель после озимая пшеница на болезни и провести профилактическую обработку.
гречиха,субтропическая,глинистая,зерновые,подсолнечник,лето,обработка почвы,После подсолнечник провести глубокую вспашку и выравнивание почвы под гречиха.
подсолнечник,северная,песчаная,сидераты,овес,осень,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под подсолнечник.
рапс,южная,торфяная,бобовые,соя,лето,обработка почвы,После соя провести глубокую вспашку и выравнивание почвы под рапс.
рапс,южная,глинистая,бобовые,озимая пшеница,осень,севооборот,"После озимая пшеница, лучше всего сажать рапс, так как сохраняется плодородие почвы."
подсолнечник,континентальная,глинистая,бобовые,картофель,лето,защита растений,Проверить посевы подсолнечник после картофель на болезни и провести профилактическую обработку.
ячмень,умеренная,глинистая,бобовые,картофель,лето,защита растений,Проверить посевы ячмень после картофель на болезни и провести профилактическую обработку.
подсолнечник,субтропическая,глинистая,сидераты,многолетние травы,лето,севооборот,"После многолетние травы, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
ячмень,умеренная,торфяная,зерновые,озимая пшеница,осень,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под ячмень.
гречиха,северная,торфяная,сидераты,пар,лето,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после пар.
пшеница,северная,торфяная,кормовые,многолетние травы,осень,защита растений,Проверить посевы пшеница после многолетние травы на болезни и провести профилактическую обработку.
картофель,южная,торфяная,зерновые,пар,весна,севооборот,"После пар, лучше всего сажать картофель, так как сохраняется плодородие почвы."
кукуруза,континентальная,глинистая,технические,овес,весна,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после овес.
картофель,субтропическая,торфяная,овощи,кукуруза,осень,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после кукуруза.
картофель,умеренная,суглинок,овощи,соя,лето,севооборот,"После соя, лучше всего сажать картофель, так как сохраняется плодородие почвы."
рапс,северная,песчаная,кормовые,соя,лето,севооборот,"После соя, лучше всего сажать рапс, так как сохраняется плодородие почвы."
рапс,южная,песчаная,сидераты,овес,весна,защита растений,Проверить посевы рапс после овес на болезни и провести профилактическую обработку.
пшеница,южная,суглинок,зерновые,подсолнечник,весна,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
гречиха,северная,суглинок,сидераты,овес,осень,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после овес.
гречиха,умеренная,глинистая,технические,люцерна,лето,защита растений,Проверить посевы гречиха после люцерна на болезни и провести профилактическую обработку.
гречиха,засушливая,чернозем,сидераты,кукуруза,весна,севооборот,"После кукуруза, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
ячмень,южная,песчаная,бобовые,кукуруза,лето,севооборот,"После кукуруза, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
рожь,субтропическая,торфяная,бобовые,пар,весна,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под рожь.
рапс,умеренная,суглинок,овощи,горох,весна,севооборот,"После горох, лучше всего сажать рапс, так как сохраняется плодородие почвы."
пшеница,северная,супесчаная,сидераты,ячмень,осень,севооборот,"После ячмень, лучше всего сажать пшеница, так как сохраняется плодородие почвы."
рожь,умеренная,песчаная,бобовые,озимая пшеница,весна,защита растений,Проверить посевы рожь после озимая пшеница на болезни и провести профилактическую обработку.
гречиха,засушливая,супесчаная,технические,пар,лето,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после пар.
картофель,умеренная,супесчаная,кормовые,овес,осень,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под картофель.
подсолнечник,умеренная,супесчаная,технические,картофель,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после картофель.
овес,континентальная,глинистая,зерновые,многолетние травы,осень,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под овес.
подсолнечник,засушливая,чернозем,зерновые,подсолнечник,весна,защита растений,Проверить посевы подсолнечник после подсолнечник на болезни и провести профилактическую обработку.
рапс,северная,супесчаная,сидераты,кукуруза,весна,севооборот,"После кукуруза, лучше всего сажать рапс, так как сохраняется плодородие почвы."
гречиха,засушливая,супесчаная,технические,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под гречиха.
картофель,субтропическая,чернозем,технические,гречиха,весна,защита растений,Проверить посевы картофель после гречиха на болезни и провести профилактическую обработку.
гречиха,засушливая,глинистая,технические,пар,лето,защита растений,Проверить посевы гречиха после пар на болезни и провести профилактическую обработку.
ячмень,засушливая,песчаная,кормовые,кукуруза,осень,защита растений,Проверить посевы ячмень после кукуруза на болезни и провести профилактическую обработку.
ячмень,умеренная,торфяная,технические,овес,лето,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под ячмень.
кукуруза,засушливая,торфяная,сидераты,горох,лето,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после горох.
соя,засушливая,глинистая,зерновые,овес,осень,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под соя.
кукуруза,субтропическая,песчаная,бобовые,гречиха,осень,севооборот,"После гречиха, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
рожь,умеренная,торфяная,зерновые,озимая пшеница,лето,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
овес,засушливая,глинистая,зерновые,овес,лето,севооборот,"После овес, лучше всего сажать овес, так как сохраняется плодородие почвы."
картофель,северная,торфяная,зерновые,гречиха,весна,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после гречиха.
гречиха,южная,суглинок,овощи,озимая пшеница,весна,защита растений,Проверить посевы гречиха после озимая пшеница на болезни и провести профилактическую обработку.
соя,северная,торфяная,сидераты,овес,лето,защита растений,Проверить посевы соя после овес на болезни и провести профилактическую обработку.
рожь,северная,песчаная,бобовые,подсолнечник,весна,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
рожь,северная,супесчаная,зерновые,многолетние травы,лето,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
пшеница,засушливая,чернозем,зерновые,кукуруза,лето,защита растений,Проверить посевы пшеница после кукуруза на болезни и провести профилактическую обработку.
гречиха,субтропическая,глинистая,сидераты,люцерна,лето,защита растений,Проверить посевы гречиха после люцерна на болезни и провести профилактическую обработку.
соя,континентальная,торфяная,технические,люцерна,лето,защита растений,Проверить посевы соя после люцерна на болезни и провести профилактическую обработку.
соя,умеренная,суглинок,бобовые,озимая пшеница,весна,удобрение,Для соя рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
пшеница,субтропическая,суглинок,зерновые,подсолнечник,осень,обработка почвы,После подсолнечник провести глубокую вспашку и выравнивание почвы под пшеница.
подсолнечник,засушливая,супесчаная,кормовые,подсолнечник,весна,севооборот,"После подсолнечник, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
гречиха,южная,глинистая,овощи,озимая пшеница,весна,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под гречиха.
кукуруза,субтропическая,супесчаная,овощи,овес,осень,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после овес.
гречиха,континентальная,суглинок,бобовые,соя,лето,защита растений,Проверить посевы гречиха после соя на болезни и провести профилактическую обработку.
пшеница,северная,чернозем,зерновые,горох,лето,защита растений,Проверить посевы пшеница после горох на болезни и провести профилактическую обработку.
рапс,засушливая,супесчаная,кормовые,пар,лето,севооборот,"После пар, лучше всего сажать рапс, так как сохраняется плодородие почвы."
пшеница,засушливая,глинистая,овощи,гречиха,лето,защита растений,Проверить посевы пшеница после гречиха на болезни и провести профилактическую обработку.
подсолнечник,субтропическая,чернозем,кормовые,озимая пшеница,осень,севооборот,"После озимая пшеница, лучше всего сажать подсолнечник, так как сохраняется плодородие почвы."
овес,умеренная,песчаная,сидераты,многолетние травы,осень,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
гречиха,континентальная,супесчаная,технические,овес,лето,защита растений,Проверить посевы гречиха после овес на болезни и провести профилактическую обработку.
пшеница,южная,песчаная,сидераты,подсолнечник,осень,севооборот,"После подсолнечник, лучше всего сажать пшеница, так как сохраняется плодородие почвы."
гречиха,южная,торфяная,бобовые,пар,лето,севооборот,"После пар, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
рожь,субтропическая,супесчаная,овощи,кукуруза,осень,защита растений,Проверить посевы рожь после кукуруза на болезни и провести профилактическую обработку.
рапс,субтропическая,супесчаная,сидераты,картофель,осень,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под рапс.
рожь,южная,песчаная,сидераты,люцерна,весна,защита растений,Проверить посевы рожь после люцерна на болезни и провести профилактическую обработку.
кукуруза,южная,суглинок,бобовые,пар,осень,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после пар.
рапс,засушливая,песчаная,бобовые,подсолнечник,лето,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после подсолнечник.
пшеница,северная,песчаная,технические,горох,весна,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под пшеница.
овес,умеренная,чернозем,технические,многолетние травы,весна,обработка почвы,После многолетние травы провести глубокую вспашку и выравнивание почвы под овес.
ячмень,континентальная,суглинок,овощи,соя,осень,севооборот,"После соя, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
пшеница,континентальная,песчаная,бобовые,люцерна,лето,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после люцерна.
пшеница,засушливая,глинистая,зерновые,ячмень,лето,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после ячмень.
овес,умеренная,торфяная,зерновые,кукуруза,лето,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после кукуруза.
подсолнечник,северная,суглинок,сидераты,соя,лето,защита растений,Проверить посевы подсолнечник после соя на болезни и провести профилактическую обработку.
овес,засушливая,супесчаная,зерновые,кукуруза,лето,севооборот,"После кукуруза, лучше всего сажать овес, так как сохраняется плодородие почвы."
картофель,южная,чернозем,бобовые,овес,осень,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после овес.
подсолнечник,засушливая,песчаная,технические,гречиха,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после гречиха.
соя,северная,супесчаная,овощи,картофель,лето,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под соя.
кукуруза,континентальная,глинистая,бобовые,кукуруза,осень,защита растений,Проверить посевы кукуруза после кукуруза на болезни и провести профилактическую обработку.
рапс,засушливая,торфяная,сидераты,картофель,весна,защита растений,Проверить посевы рапс после картофель на болезни и провести профилактическую обработку.
кукуруза,умеренная,супесчаная,кормовые,ячмень,весна,севооборот,"После ячмень, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
картофель,засушливая,суглинок,овощи,озимая пшеница,осень,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после озимая пшеница.
кукуруза,континентальная,чернозем,сидераты,люцерна,лето,севооборот,"После люцерна, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
рапс,засушливая,супесчаная,сидераты,гречиха,осень,севооборот,"После гречиха, лучше всего сажать рапс, так как сохраняется плодородие почвы."
картофель,умеренная,песчаная,кормовые,пар,весна,защита растений,Проверить посевы картофель после пар на болезни и провести профилактическую обработку.
гречиха,субтропическая,суглинок,кормовые,пар,лето,защита растений,Проверить посевы гречиха после пар на болезни и провести профилактическую обработку.
картофель,субтропическая,глинистая,бобовые,соя,весна,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после соя.
овес,северная,глинистая,сидераты,люцерна,лето,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под овес.
овес,континентальная,песчаная,бобовые,ячмень,лето,севооборот,"После ячмень, лучше всего сажать овес, так как сохраняется плодородие почвы."
овес,северная,супесчаная,бобовые,озимая пшеница,весна,севооборот,"После озимая пшеница, лучше всего сажать овес, так как сохраняется плодородие почвы."
подсолнечник,северная,супесчаная,овощи,гречиха,весна,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после гречиха.
картофель,северная,супесчаная,кормовые,картофель,весна,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после картофель.
ячмень,засушливая,песчаная,кормовые,люцерна,весна,защита растений,Проверить посевы ячмень после люцерна на болезни и провести профилактическую обработку.
картофель,южная,супесчаная,кормовые,пар,лето,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под картофель.
картофель,северная,песчаная,сидераты,люцерна,лето,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под картофель.
рапс,континентальная,супесчаная,бобовые,ячмень,осень,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под рапс.
картофель,засушливая,чернозем,бобовые,люцерна,осень,защита растений,Проверить посевы картофель после люцерна на болезни и провести профилактическую обработку.
ячмень,умеренная,чернозем,овощи,кукуруза,осень,обработка почвы,После кукуруза провести глубокую вспашку и выравнивание почвы под ячмень.
гречиха,умеренная,песчаная,сидераты,гречиха,осень,защита растений,Проверить посевы гречиха после гречиха на болезни и провести профилактическую обработку.
соя,континентальная,глинистая,сидераты,многолетние травы,осень,защита растений,Проверить посевы соя после многолетние травы на болезни и провести профилактическую обработку.
рапс,южная,суглинок,кормовые,кукуруза,осень,защита растений,Проверить посевы рапс после кукуруза на болезни и провести профилактическую обработку.
кукуруза,субтропическая,торфяная,кормовые,ячмень,лето,обработка почвы,После ячмень провести глубокую вспашку и выравнивание почвы под кукуруза.
гречиха,засушливая,чернозем,сидераты,кукуруза,лето,севооборот,"После кукуруза, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
ячмень,континентальная,глинистая,зерновые,ячмень,осень,севооборот,"После ячмень, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
пшеница,континентальная,суглинок,зерновые,картофель,осень,севооборот,"После картофель, лучше всего сажать пшеница, так как сохраняется плодородие почвы."
соя,северная,глинистая,зерновые,кукуруза,весна,защита растений,Проверить посевы соя после кукуруза на болезни и провести профилактическую обработку.
пшеница,северная,песчаная,бобовые,кукуруза,лето,защита растений,Проверить посевы пшеница после кукуруза на болезни и провести профилактическую обработку.
пшеница,умеренная,торфяная,технические,ячмень,весна,защита растений,Проверить посевы пшеница после ячмень на болезни и провести профилактическую обработку.
гречиха,континентальная,песчаная,кормовые,овес,осень,защита растений,Проверить посевы гречиха после овес на болезни и провести профилактическую обработку.
гречиха,субтропическая,торфяная,бобовые,кукуруза,лето,защита растений,Проверить посевы гречиха после кукуруза на болезни и провести профилактическую обработку.
гречиха,субтропическая,глинистая,бобовые,люцерна,осень,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после люцерна.
рожь,субтропическая,торфяная,овощи,многолетние травы,весна,защита растений,Проверить посевы рожь после многолетние травы на болезни и провести профилактическую обработку.
картофель,континентальная,чернозем,сидераты,овес,лето,севооборот,"После овес, лучше всего сажать картофель, так как сохраняется плодородие почвы."
ячмень,южная,супесчаная,зерновые,пар,лето,севооборот,"После пар, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
овес,субтропическая,чернозем,сидераты,гречиха,весна,обработка почвы,После гречиха провести глубокую вспашку и выравнивание почвы под овес.
рожь,континентальная,торфяная,зерновые,пар,лето,обработка почвы,После пар провести глубокую вспашку и выравнивание почвы под рожь.
гречиха,континентальная,чернозем,зерновые,горох,лето,обработка почвы,После горох провести глубокую вспашку и выравнивание почвы под гречиха.
пшеница,северная,суглинок,бобовые,люцерна,лето,защита растений,Проверить посевы пшеница после люцерна на болезни и провести профилактическую обработку.
ячмень,континентальная,торфяная,технические,многолетние травы,лето,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
гречиха,умеренная,песчаная,овощи,кукуруза,осень,удобрение,Для гречиха рекомендуется внести азотные и фосфорные удобрения после кукуруза.
овес,северная,глинистая,технические,ячмень,весна,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после ячмень.
овес,южная,песчаная,бобовые,кукуруза,осень,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после кукуруза.
кукуруза,северная,глинистая,сидераты,кукуруза,весна,севооборот,"После кукуруза, лучше всего сажать кукуруза, так как сохраняется плодородие почвы."
кукуруза,умеренная,супесчаная,зерновые,соя,осень,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после соя.
картофель,южная,глинистая,технические,соя,осень,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после соя.
пшеница,южная,суглинок,кормовые,пар,весна,защита растений,Проверить посевы пшеница после пар на болезни и провести профилактическую обработку.
овес,континентальная,глинистая,зерновые,соя,весна,севооборот,"После соя, лучше всего сажать овес, так как сохраняется плодородие почвы."
гречиха,континентальная,глинистая,зерновые,овес,весна,защита растений,Проверить посевы гречиха после овес на болезни и провести профилактическую обработку.
подсолнечник,умеренная,песчаная,кормовые,пар,лето,удобрение,Для подсолнечник рекомендуется внести азотные и фосфорные удобрения после пар.
подсолнечник,континентальная,супесчаная,бобовые,соя,лето,защита растений,Проверить посевы подсолнечник после соя на болезни и провести профилактическую обработку.
гречиха,умеренная,супесчаная,кормовые,подсолнечник,весна,севооборот,"После подсолнечник, лучше всего сажать гречиха, так как сохраняется плодородие почвы."
овес,южная,суглинок,кормовые,многолетние травы,лето,защита растений,Проверить посевы овес после многолетние травы на болезни и провести профилактическую обработку.
пшеница,умеренная,глинистая,кормовые,соя,лето,обработка почвы,После соя провести глубокую вспашку и выравнивание почвы под пшеница.
пшеница,умеренная,глинистая,технические,пар,осень,защита растений,Проверить посевы пшеница после пар на болезни и провести профилактическую обработку.
картофель,субтропическая,суглинок,кормовые,гречиха,осень,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после гречиха.
кукуруза,субтропическая,торфяная,кормовые,ячмень,осень,удобрение,Для кукуруза рекомендуется внести азотные и фосфорные удобрения после ячмень.
рапс,субтропическая,чернозем,бобовые,люцерна,лето,севооборот,"После люцерна, лучше всего сажать рапс, так как сохраняется плодородие почвы."
рапс,южная,торфяная,кормовые,картофель,лето,севооборот,"После картофель, лучше всего сажать рапс, так как сохраняется плодородие почвы."
соя,субтропическая,глинистая,технические,подсолнечник,лето,севооборот,"После подсолнечник, лучше всего сажать соя, так как сохраняется плодородие почвы."
картофель,южная,глинистая,кормовые,картофель,весна,обработка почвы,После картофель провести глубокую вспашку и выравнивание почвы под картофель.
пшеница,континентальная,глинистая,зерновые,озимая пшеница,лето,обработка почвы,После озимая пшеница провести глубокую вспашку и выравнивание почвы под пшеница.
рапс,континентальная,супесчаная,сидераты,овес,осень,удобрение,Для рапс рекомендуется внести азотные и фосфорные удобрения после овес.
ячмень,континентальная,чернозем,сидераты,овес,лето,удобрение,Для ячмень рекомендуется внести азотные и фосфорные удобрения после овес.
картофель,засушливая,торфяная,технические,многолетние травы,весна,удобрение,Для картофель рекомендуется внести азотные и фосфорные удобрения после многолетние травы.
ячмень,засушливая,песчаная,бобовые,овес,весна,обработка почвы,После овес провести глубокую вспашку и выравнивание почвы под ячмень.
пшеница,северная,супесчаная,сидераты,картофель,весна,удобрение,Для пшеница рекомендуется внести азотные и фосфорные удобрения после картофель.
рожь,субтропическая,песчаная,сидераты,подсолнечник,весна,защита растений,Проверить посевы рожь после подсолнечник на болезни и провести профилактическую обработку.
картофель,умеренная,песчаная,овощи,люцерна,лето,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под картофель.
пшеница,южная,супесчаная,овощи,ячмень,осень,защита растений,Проверить посевы пшеница после ячмень на болезни и провести профилактическую обработку.
кукуруза,континентальная,суглинок,сидераты,люцерна,лето,обработка почвы,После люцерна провести глубокую вспашку и выравнивание почвы под кукуруза.
ячмень,континентальная,суглинок,сидераты,ячмень,весна,севооборот,"После ячмень, лучше всего сажать ячмень, так как сохраняется плодородие почвы."
рожь,южная,торфяная,сидераты,соя,весна,удобрение,Для рожь рекомендуется внести азотные и фосфорные удобрения после соя.
овес,континентальная,песчаная,сидераты,гречиха,осень,удобрение,Для овес рекомендуется внести азотные и фосфорные удобрения после гречиха.
рапс,субтропическая,супесчаная,сидераты,озимая пшеница,осень,защита растений,Проверить посевы рапс после озимая пшеница на болезни и провести профилактическую обработку.
